$,settlementdate,Price$,Demand#,Import,Export,Generation_
QLD1,2021-09-10 18:05:00,80.99,6990.17,0,141.4,7131.56
QLD1,2021-09-10 18:10:00,84.82,7063.05,0,121.9,7184.95
QLD1,2021-09-10 18:15:00,61.71284,7032.95,0,91.55,7124.5
QLD1,2021-09-10 18:20:00,84.82,7056.93,0,157.01,7213.94
QLD1,2021-09-10 18:25:00,60.8,7049.88,0,101.09,7150.96
QLD1,2021-09-10 18:30:00,60.8,7069.79,0,123.39,7193.18
QLD1,2021-09-10 18:35:00,62.25824,7138.43,0,81.85,7220.28
QLD1,2021-09-10 18:40:00,60.8,7126.1,0,101.51,7227.6
QLD1,2021-09-10 18:45:00,57.95048,7072.69,0,104.85,7177.54
QLD1,2021-09-10 18:50:00,56.92628,7073.06,0,23,7096.06
QLD1,2021-09-10 18:55:00,60,7041.89,0,9.95,7051.84
QLD1,2021-09-10 19:00:00,56.73013,6955.39,0,9.53,6964.92
QLD1,2021-09-10 19:05:00,60.8,7047.36,-4.3,0,7043.06
QLD1,2021-09-10 19:10:00,60,6994.57,-0.51,0,6994.07
QLD1,2021-09-10 19:15:00,51.37065,6875.6,0,19.16,6894.76
QLD1,2021-09-10 19:20:00,51.56052,6885.53,0,2.93,6888.46
QLD1,2021-09-10 19:25:00,51.46045,6840.07,0,21.81,6861.89
QLD1,2021-09-10 19:30:00,50.95777,6845.19,0,17.77,6862.96
QLD1,2021-09-10 19:35:00,56.73014,6856.76,0,19,6875.76
QLD1,2021-09-10 19:40:00,60,6889.48,0,47.14,6936.62
QLD1,2021-09-10 19:45:00,57.59462,6808.46,0,100.92,6909.39
QLD1,2021-09-10 19:50:00,59.37654,6866.89,0,45.3,6912.19
QLD1,2021-09-10 19:55:00,56.73013,6799.4,0,109.45,6908.85
QLD1,2021-09-10 20:00:00,56.73014,6794.65,0,95.16,6889.81
QLD1,2021-09-10 20:05:00,56.73013,6864.33,-18.83,0,6845.5
QLD1,2021-09-10 20:10:00,56.73013,6804.08,-29.87,0,6774.21
QLD1,2021-09-10 20:15:00,52.30426,6763.28,-24.23,0,6739.05
QLD1,2021-09-10 20:20:00,43.97415,6699.54,-4.81,0,6694.73
QLD1,2021-09-10 20:25:00,53.86013,6682.87,-28.83,0,6654.03
QLD1,2021-09-10 20:30:00,48.91057,6662.38,-28.22,0,6634.16
QLD1,2021-09-10 20:35:00,60,6644.41,-35.44,0,6608.97
QLD1,2021-09-10 20:40:00,60,6683.9,-40.67,0,6643.23
QLD1,2021-09-10 20:45:00,60,6664.09,-30.5,0,6633.58
QLD1,2021-09-10 20:50:00,44.18264,6612.89,-19.22,0,6593.67
QLD1,2021-09-10 20:55:00,43.5746,6553.23,0,18.19,6571.42
QLD1,2021-09-10 21:00:00,43.4,6532.39,0,36.47,6568.86
QLD1,2021-09-10 21:05:00,43.54915,6522.16,0,18.97,6541.13
QLD1,2021-09-10 21:10:00,54,6558.73,-19.49,0,6539.24
QLD1,2021-09-10 21:15:00,43.81772,6509.8,-23.04,0,6486.76
QLD1,2021-09-10 21:20:00,54,6543.89,-34.42,0,6509.47
QLD1,2021-09-10 21:25:00,43.48489,6443.21,0,17.27,6460.48
QLD1,2021-09-10 21:30:00,43.76854,6443.8,-13.86,0,6429.94
QLD1,2021-09-10 21:35:00,44.4606,6417.97,-29.75,0,6388.22
QLD1,2021-09-10 21:40:00,45.45,6416.92,-18.02,0,6398.89
QLD1,2021-09-10 21:45:00,44.67157,6372.64,0,14.5,6387.14
QLD1,2021-09-10 21:50:00,43.13082,6323,0,67.06,6390.05
QLD1,2021-09-10 21:55:00,42.82425,6297.95,0,91.74,6389.69
QLD1,2021-09-10 22:00:00,42.83975,6311.28,0,90.31,6401.59
QLD1,2021-09-10 22:05:00,88.88384,6297.26,0,135.27,6432.53
QLD1,2021-09-10 22:10:00,55.16306,6198.67,0,116.58,6315.25
QLD1,2021-09-10 22:15:00,49.81858,6229.82,0,51.83,6281.65
QLD1,2021-09-10 22:20:00,41.15,6147.41,0,119.79,6267.2
QLD1,2021-09-10 22:25:00,43.69444,6176.42,0,129.61,6306.03
QLD1,2021-09-10 22:30:00,41.2276,6157.68,0,158.67,6316.36
QLD1,2021-09-10 22:35:00,55.13142,6175.91,0,124.43,6300.34
QLD1,2021-09-10 22:40:00,56.2335,6176.64,0,27.29,6203.93
