$,_ft,settlementdate,v#
QLD1,Battery Storage,2021-09-11 05:30:00,0
QLD1,Battery Storage,2021-09-11 05:35:00,0
QLD1,Battery Storage,2021-09-11 05:40:00,0
QLD1,Battery Storage,2021-09-11 05:45:00,0
QLD1,Battery Storage,2021-09-11 05:50:00,0
QLD1,Battery Storage,2021-09-11 05:55:00,0
QLD1,Battery Storage,2021-09-11 06:00:00,0
QLD1,Battery Storage,2021-09-11 06:05:00,0
QLD1,Battery Storage,2021-09-11 06:10:00,0
QLD1,Battery Storage,2021-09-11 06:15:00,0
QLD1,Battery Storage,2021-09-11 06:20:00,0
QLD1,Battery Storage,2021-09-11 06:25:00,0
QLD1,Battery Storage,2021-09-11 06:30:00,0
QLD1,Biomass,2021-09-11 05:30:00,24.6
QLD1,Biomass,2021-09-11 05:35:00,25.1
QLD1,Biomass,2021-09-11 05:40:00,25.200000000000003
QLD1,Biomass,2021-09-11 05:45:00,25.6
QLD1,Biomass,2021-09-11 05:50:00,24.700000000000003
QLD1,Biomass,2021-09-11 05:55:00,25.200000000000003
QLD1,Biomass,2021-09-11 06:00:00,24.700000000000003
QLD1,Biomass,2021-09-11 06:05:00,24.800001
QLD1,Biomass,2021-09-11 06:10:00,25
QLD1,Biomass,2021-09-11 06:15:00,25.1
QLD1,Biomass,2021-09-11 06:20:00,24.900001000000003
QLD1,Biomass,2021-09-11 06:25:00,25.1
QLD1,Biomass,2021-09-11 06:30:00,25.200000000000003
QLD1,Black Coal,2021-09-11 05:30:00,4839.167369999998
QLD1,Black Coal,2021-09-11 05:35:00,4827.2356
QLD1,Black Coal,2021-09-11 05:40:00,4935.6578
QLD1,Black Coal,2021-09-11 05:45:00,5014.43187
QLD1,Black Coal,2021-09-11 05:50:00,5091.580569999999
QLD1,Black Coal,2021-09-11 05:55:00,5130.00095
QLD1,Black Coal,2021-09-11 06:00:00,5138.399349999999
QLD1,Black Coal,2021-09-11 06:05:00,5116.5039400000005
QLD1,Black Coal,2021-09-11 06:10:00,5194.04871
QLD1,Black Coal,2021-09-11 06:15:00,5195.26774
QLD1,Black Coal,2021-09-11 06:20:00,5227.12005
QLD1,Black Coal,2021-09-11 06:25:00,5199.326720000001
QLD1,Black Coal,2021-09-11 06:30:00,5178.951779999999
QLD1,Gas,2021-09-11 05:30:00,288.570065
QLD1,Gas,2021-09-11 05:35:00,287.724448
QLD1,Gas,2021-09-11 05:40:00,289.692804
QLD1,Gas,2021-09-11 05:45:00,288.21822000000003
QLD1,Gas,2021-09-11 05:50:00,289.602514
QLD1,Gas,2021-09-11 05:55:00,289.72400600000003
QLD1,Gas,2021-09-11 06:00:00,290.659182
QLD1,Gas,2021-09-11 06:05:00,284.387715
QLD1,Gas,2021-09-11 06:10:00,289.187835
QLD1,Gas,2021-09-11 06:15:00,287.66132
QLD1,Gas,2021-09-11 06:20:00,289.350525
QLD1,Gas,2021-09-11 06:25:00,289.48246800000004
QLD1,Gas,2021-09-11 06:30:00,287.18620500000003
QLD1,Hydro,2021-09-11 05:30:00,54.13
QLD1,Hydro,2021-09-11 05:35:00,53.8
QLD1,Hydro,2021-09-11 05:40:00,54.0525
QLD1,Hydro,2021-09-11 05:45:00,53.95
QLD1,Hydro,2021-09-11 05:50:00,53.870000000000005
QLD1,Hydro,2021-09-11 05:55:00,54.1075
QLD1,Hydro,2021-09-11 06:00:00,54.11749999999999
QLD1,Hydro,2021-09-11 06:05:00,54.167500000000004
QLD1,Hydro,2021-09-11 06:10:00,53.982499999999995
QLD1,Hydro,2021-09-11 06:15:00,54.0075
QLD1,Hydro,2021-09-11 06:20:00,53.815000000000005
QLD1,Hydro,2021-09-11 06:25:00,54.11
QLD1,Hydro,2021-09-11 06:30:00,54.25
QLD1,Hydro Storage,2021-09-11 05:30:00,0
QLD1,Hydro Storage,2021-09-11 05:35:00,0
QLD1,Hydro Storage,2021-09-11 05:40:00,0
QLD1,Hydro Storage,2021-09-11 05:45:00,0
QLD1,Hydro Storage,2021-09-11 05:50:00,0
QLD1,Hydro Storage,2021-09-11 05:55:00,0
QLD1,Hydro Storage,2021-09-11 06:00:00,0
QLD1,Hydro Storage,2021-09-11 06:05:00,0
QLD1,Hydro Storage,2021-09-11 06:10:00,0
QLD1,Hydro Storage,2021-09-11 06:15:00,0
QLD1,Hydro Storage,2021-09-11 06:20:00,0
QLD1,Hydro Storage,2021-09-11 06:25:00,0
QLD1,Hydro Storage,2021-09-11 06:30:00,0
QLD1,Liquid Fuel,2021-09-11 05:30:00,0
QLD1,Liquid Fuel,2021-09-11 05:35:00,0
QLD1,Liquid Fuel,2021-09-11 05:40:00,0
QLD1,Liquid Fuel,2021-09-11 05:45:00,0
QLD1,Liquid Fuel,2021-09-11 05:50:00,0
QLD1,Liquid Fuel,2021-09-11 05:55:00,0
QLD1,Liquid Fuel,2021-09-11 06:00:00,0
QLD1,Liquid Fuel,2021-09-11 06:05:00,0
QLD1,Liquid Fuel,2021-09-11 06:10:00,0
QLD1,Liquid Fuel,2021-09-11 06:15:00,0
QLD1,Liquid Fuel,2021-09-11 06:20:00,0
QLD1,Liquid Fuel,2021-09-11 06:25:00,0
QLD1,Liquid Fuel,2021-09-11 06:30:00,0
QLD1,Solar,2021-09-11 05:30:00,-0.07700000000000001
QLD1,Solar,2021-09-11 05:35:00,-0.07700000000000001
QLD1,Solar,2021-09-11 05:40:00,-0.07700000000000001
QLD1,Solar,2021-09-11 05:45:00,-0.07700000000000001
QLD1,Solar,2021-09-11 05:50:00,-0.07700000000000001
QLD1,Solar,2021-09-11 05:55:00,-0.07700000000000001
QLD1,Solar,2021-09-11 06:00:00,0.19
QLD1,Solar,2021-09-11 06:05:00,1.32823
QLD1,Solar,2021-09-11 06:10:00,3.76271
QLD1,Solar,2021-09-11 06:15:00,8.03612
QLD1,Solar,2021-09-11 06:20:00,14.168050000000001
QLD1,Solar,2021-09-11 06:25:00,28.118190000000002
QLD1,Solar,2021-09-11 06:30:00,48.86887
QLD1,Wind,2021-09-11 05:30:00,177.67717
QLD1,Wind,2021-09-11 05:35:00,178.19572
QLD1,Wind,2021-09-11 05:40:00,171.15260999999998
QLD1,Wind,2021-09-11 05:45:00,173.31669
QLD1,Wind,2021-09-11 05:50:00,179.96174000000002
QLD1,Wind,2021-09-11 05:55:00,180.50707
QLD1,Wind,2021-09-11 06:00:00,180.006
QLD1,Wind,2021-09-11 06:05:00,180.5493
QLD1,Wind,2021-09-11 06:10:00,184.12256
QLD1,Wind,2021-09-11 06:15:00,189.25290999999999
QLD1,Wind,2021-09-11 06:20:00,179.93581
QLD1,Wind,2021-09-11 06:25:00,183.51965
QLD1,Wind,2021-09-11 06:30:00,198.3922
QLD1,Rooftop PV,2021-09-11 05:30:00,0
QLD1,Rooftop PV,2021-09-11 05:35:00,0.3795
QLD1,Rooftop PV,2021-09-11 05:40:00,0.759
QLD1,Rooftop PV,2021-09-11 05:45:00,1.1385
QLD1,Rooftop PV,2021-09-11 05:50:00,1.518
QLD1,Rooftop PV,2021-09-11 05:55:00,1.8975
QLD1,Rooftop PV,2021-09-11 06:00:00,2.277
QLD1,Rooftop PV,2021-09-11 06:05:00,15.3696666667
QLD1,Rooftop PV,2021-09-11 06:10:00,28.4623333333
QLD1,Rooftop PV,2021-09-11 06:15:00,41.555
QLD1,Rooftop PV,2021-09-11 06:20:00,54.6476666667
QLD1,Rooftop PV,2021-09-11 06:25:00,67.7403333333
QLD1,Rooftop PV,2021-09-11 06:30:00,80.833
NSW1,Black Coal,2021-09-11 05:30:00,4334.34993
NSW1,Black Coal,2021-09-11 05:35:00,4353.85609
NSW1,Black Coal,2021-09-11 05:40:00,4314.16871
NSW1,Black Coal,2021-09-11 05:45:00,4202.43096
NSW1,Black Coal,2021-09-11 05:50:00,4139.96263
NSW1,Black Coal,2021-09-11 05:55:00,4101.70022
NSW1,Black Coal,2021-09-11 06:00:00,4109.550090000001
NSW1,Black Coal,2021-09-11 06:05:00,4087.53131
NSW1,Black Coal,2021-09-11 06:10:00,4181.82531
