$,_ft,settlementdate,v#
QLD1,Biomass,2016-09-28 15:00:00,59.749998999999995
QLD1,Biomass,2016-09-28 15:05:00,67.64999999999999
QLD1,Biomass,2016-09-28 15:10:00,68.450001
QLD1,Biomass,2016-09-28 15:15:00,68.24999899999999
QLD1,Biomass,2016-09-28 15:20:00,68.950001
QLD1,Biomass,2016-09-28 15:25:00,67.849999
QLD1,Biomass,2016-09-28 15:30:00,68.649998
QLD1,Biomass,2016-09-28 15:35:00,68.05
QLD1,Biomass,2016-09-28 15:40:00,66.27499999999999
QLD1,Biomass,2016-09-28 15:45:00,67.77499999999999
QLD1,Biomass,2016-09-28 15:50:00,66.974999
QLD1,Biomass,2016-09-28 15:55:00,67.175
QLD1,Biomass,2016-09-28 16:00:00,66.074999
QLD1,Biomass,2016-09-28 16:05:00,64.974999
QLD1,Biomass,2016-09-28 16:10:00,67.175
QLD1,Biomass,2016-09-28 16:15:00,65.27499999999999
QLD1,Biomass,2016-09-28 16:20:00,64.77499999999999
QLD1,Biomass,2016-09-28 16:25:00,62.074999
QLD1,Biomass,2016-09-28 16:30:00,64.175
QLD1,Biomass,2016-09-28 16:35:00,63.775
QLD1,Biomass,2016-09-28 16:40:00,61.275
QLD1,Biomass,2016-09-28 16:45:00,59.974999
QLD1,Biomass,2016-09-28 16:50:00,60.974999
QLD1,Biomass,2016-09-28 16:55:00,69.774998
QLD1,Biomass,2016-09-28 17:00:00,68.774998
QLD1,Black Coal,2016-09-28 15:00:00,5723.166930000001
QLD1,Black Coal,2016-09-28 15:05:00,5763.71696
QLD1,Black Coal,2016-09-28 15:10:00,5738.4669699999995
QLD1,Black Coal,2016-09-28 15:15:00,5779.69196
QLD1,Black Coal,2016-09-28 15:20:00,5743.891889999999
QLD1,Black Coal,2016-09-28 15:25:00,5730.0919699999995
QLD1,Black Coal,2016-09-28 15:30:00,5774.334220000001
QLD1,Black Coal,2016-09-28 15:35:00,5764.084199999999
QLD1,Black Coal,2016-09-28 15:40:00,5766.35921
QLD1,Black Coal,2016-09-28 15:45:00,5839.146890000001
QLD1,Black Coal,2016-09-28 15:50:00,5842.86926
QLD1,Black Coal,2016-09-28 15:55:00,5924.145120000001
QLD1,Black Coal,2016-09-28 16:00:00,5883.345119999999
QLD1,Black Coal,2016-09-28 16:05:00,5822.370179999999
QLD1,Black Coal,2016-09-28 16:10:00,5876.72011
QLD1,Black Coal,2016-09-28 16:15:00,5874.033359999999
QLD1,Black Coal,2016-09-28 16:20:00,5855.88644
QLD1,Black Coal,2016-09-28 16:25:00,5859.73669
QLD1,Black Coal,2016-09-28 16:30:00,5772.98135
QLD1,Black Coal,2016-09-28 16:35:00,5921.66173
QLD1,Black Coal,2016-09-28 16:40:00,5924.0538799999995
QLD1,Black Coal,2016-09-28 16:45:00,5817.078909999999
QLD1,Black Coal,2016-09-28 16:50:00,5854.15399
QLD1,Black Coal,2016-09-28 16:55:00,6017.12896
QLD1,Black Coal,2016-09-28 17:00:00,6052.38652
QLD1,Gas,2016-09-28 15:00:00,563.613794
QLD1,Gas,2016-09-28 15:05:00,562.397875
QLD1,Gas,2016-09-28 15:10:00,565.298113
QLD1,Gas,2016-09-28 15:15:00,564.674185
QLD1,Gas,2016-09-28 15:20:00,623.357176
QLD1,Gas,2016-09-28 15:25:00,565.1811610000001
QLD1,Gas,2016-09-28 15:30:00,565.841393
QLD1,Gas,2016-09-28 15:35:00,630.8494010000001
QLD1,Gas,2016-09-28 15:40:00,570.767153
QLD1,Gas,2016-09-28 15:45:00,619.0698639999999
QLD1,Gas,2016-09-28 15:50:00,654.8416540000001
QLD1,Gas,2016-09-28 15:55:00,675.654251
QLD1,Gas,2016-09-28 16:00:00,676.287833
QLD1,Gas,2016-09-28 16:05:00,691.982752
QLD1,Gas,2016-09-28 16:10:00,688.93727
QLD1,Gas,2016-09-28 16:15:00,727.694162
QLD1,Gas,2016-09-28 16:20:00,728.607052
QLD1,Gas,2016-09-28 16:25:00,729.23321
QLD1,Gas,2016-09-28 16:30:00,739.495462
QLD1,Gas,2016-09-28 16:35:00,793.712253
QLD1,Gas,2016-09-28 16:40:00,797.669034
QLD1,Gas,2016-09-28 16:45:00,763.9626109999999
QLD1,Gas,2016-09-28 16:50:00,791.4999109999999
QLD1,Gas,2016-09-28 16:55:00,793.162654
QLD1,Gas,2016-09-28 17:00:00,794.260442
QLD1,Hydro,2016-09-28 15:00:00,53.337500000000006
QLD1,Hydro,2016-09-28 15:05:00,53.3775
QLD1,Hydro,2016-09-28 15:10:00,53.32
QLD1,Hydro,2016-09-28 15:15:00,53.325
QLD1,Hydro,2016-09-28 15:20:00,52.01
QLD1,Hydro,2016-09-28 15:25:00,53.2225
QLD1,Hydro,2016-09-28 15:30:00,53.2975
QLD1,Hydro,2016-09-28 15:35:00,53.2425
QLD1,Hydro,2016-09-28 15:40:00,53.3475
QLD1,Hydro,2016-09-28 15:45:00,53.345
QLD1,Hydro,2016-09-28 15:50:00,53.3475
QLD1,Hydro,2016-09-28 15:55:00,54.917500000000004
QLD1,Hydro,2016-09-28 16:00:00,53.72
QLD1,Hydro,2016-09-28 16:05:00,52.3725
QLD1,Hydro,2016-09-28 16:10:00,53.2825
QLD1,Hydro,2016-09-28 16:15:00,53.72
QLD1,Hydro,2016-09-28 16:20:00,52.5075
QLD1,Hydro,2016-09-28 16:25:00,51.32
QLD1,Hydro,2016-09-28 16:30:00,52.760000000000005
QLD1,Hydro,2016-09-28 16:35:00,55.25
QLD1,Hydro,2016-09-28 16:40:00,52.6875
QLD1,Hydro,2016-09-28 16:45:00,52.692499999999995
QLD1,Hydro,2016-09-28 16:50:00,52.6425
QLD1,Hydro,2016-09-28 16:55:00,55.2575
QLD1,Hydro,2016-09-28 17:00:00,54.004999999999995
QLD1,Hydro Storage,2016-09-28 15:00:00,0
QLD1,Hydro Storage,2016-09-28 15:05:00,0
QLD1,Hydro Storage,2016-09-28 15:10:00,0
QLD1,Hydro Storage,2016-09-28 15:15:00,0
QLD1,Hydro Storage,2016-09-28 15:20:00,0
QLD1,Hydro Storage,2016-09-28 15:25:00,0
QLD1,Hydro Storage,2016-09-28 15:30:00,0
QLD1,Hydro Storage,2016-09-28 15:35:00,0
QLD1,Hydro Storage,2016-09-28 15:40:00,0
QLD1,Hydro Storage,2016-09-28 15:45:00,0
QLD1,Hydro Storage,2016-09-28 15:50:00,0
QLD1,Hydro Storage,2016-09-28 15:55:00,0
QLD1,Hydro Storage,2016-09-28 16:00:00,0
QLD1,Hydro Storage,2016-09-28 16:05:00,0
QLD1,Hydro Storage,2016-09-28 16:10:00,0
QLD1,Hydro Storage,2016-09-28 16:15:00,0
QLD1,Hydro Storage,2016-09-28 16:20:00,0
QLD1,Hydro Storage,2016-09-28 16:25:00,0
QLD1,Hydro Storage,2016-09-28 16:30:00,0
QLD1,Hydro Storage,2016-09-28 16:35:00,0
QLD1,Hydro Storage,2016-09-28 16:40:00,0
QLD1,Hydro Storage,2016-09-28 16:45:00,0
QLD1,Hydro Storage,2016-09-28 16:50:00,0
QLD1,Hydro Storage,2016-09-28 16:55:00,0
QLD1,Hydro Storage,2016-09-28 17:00:00,0
QLD1,Liquid Fuel,2016-09-28 15:00:00,0
QLD1,Liquid Fuel,2016-09-28 15:05:00,0
QLD1,Liquid Fuel,2016-09-28 15:10:00,0
QLD1,Liquid Fuel,2016-09-28 15:15:00,0
QLD1,Liquid Fuel,2016-09-28 15:20:00,0
QLD1,Liquid Fuel,2016-09-28 15:25:00,0
QLD1,Liquid Fuel,2016-09-28 15:30:00,0
QLD1,Liquid Fuel,2016-09-28 15:35:00,0
QLD1,Liquid Fuel,2016-09-28 15:40:00,0.224
QLD1,Liquid Fuel,2016-09-28 15:45:00,0
QLD1,Liquid Fuel,2016-09-28 15:50:00,0
QLD1,Liquid Fuel,2016-09-28 15:55:00,0
QLD1,Liquid Fuel,2016-09-28 16:00:00,0
QLD1,Liquid Fuel,2016-09-28 16:05:00,0
QLD1,Liquid Fuel,2016-09-28 16:10:00,0
QLD1,Liquid Fuel,2016-09-28 16:15:00,0
QLD1,Liquid Fuel,2016-09-28 16:20:00,0
QLD1,Liquid Fuel,2016-09-28 16:25:00,0
QLD1,Liquid Fuel,2016-09-28 16:30:00,0
QLD1,Liquid Fuel,2016-09-28 16:35:00,0
QLD1,Liquid Fuel,2016-09-28 16:40:00,0
QLD1,Liquid Fuel,2016-09-28 16:45:00,0
QLD1,Liquid Fuel,2016-09-28 16:50:00,0.224
QLD1,Liquid Fuel,2016-09-28 16:55:00,0
QLD1,Liquid Fuel,2016-09-28 17:00:00,0
QLD1,Rooftop PV,2016-09-28 15:00:00,783.124
QLD1,Rooftop PV,2016-09-28 15:05:00,758.902
QLD1,Rooftop PV,2016-09-28 15:10:00,734.68
QLD1,Rooftop PV,2016-09-28 15:15:00,710.458
QLD1,Rooftop PV,2016-09-28 15:20:00,686.236
QLD1,Rooftop PV,2016-09-28 15:25:00,662.014
QLD1,Rooftop PV,2016-09-28 15:30:00,637.792
QLD1,Rooftop PV,2016-09-28 15:35:00,609.001833333
QLD1,Rooftop PV,2016-09-28 15:40:00,580.211666667
QLD1,Rooftop PV,2016-09-28 15:45:00,551.4215
QLD1,Rooftop PV,2016-09-28 15:50:00,522.631333333
QLD1,Rooftop PV,2016-09-28 15:55:00,493.841166667
QLD1,Rooftop PV,2016-09-28 16:00:00,465.051
QLD1,Rooftop PV,2016-09-28 16:05:00,436.254166667
QLD1,Rooftop PV,2016-09-28 16:10:00,407.457333333
QLD1,Rooftop PV,2016-09-28 16:15:00,378.6605
QLD1,Rooftop PV,2016-09-28 16:20:00,349.863666667
QLD1,Rooftop PV,2016-09-28 16:25:00,321.066833333
QLD1,Rooftop PV,2016-09-28 16:30:00,292.27
QLD1,Rooftop PV,2016-09-28 16:35:00,267.578666667
QLD1,Rooftop PV,2016-09-28 16:40:00,242.887333333
QLD1,Rooftop PV,2016-09-28 16:45:00,218.196
QLD1,Rooftop PV,2016-09-28 16:50:00,193.504666667
QLD1,Rooftop PV,2016-09-28 16:55:00,168.813333333
QLD1,Rooftop PV,2016-09-28 17:00:00,144.122
NSW1,Black Coal,2016-09-28 15:00:00,5618.79071
NSW1,Black Coal,2016-09-28 15:05:00,5613.509889999999
NSW1,Black Coal,2016-09-28 15:10:00,5613.93508
NSW1,Black Coal,2016-09-28 15:15:00,5640.6156200000005
NSW1,Black Coal,2016-09-28 15:20:00,5610.493829999999
NSW1,Black Coal,2016-09-28 15:25:00,5600.515520000001
NSW1,Black Coal,2016-09-28 15:30:00,5680.10693
NSW1,Black Coal,2016-09-28 15:35:00,5691.10927
NSW1,Black Coal,2016-09-28 15:40:00,5726.3491300000005
NSW1,Black Coal,2016-09-28 15:45:00,5700.1328300000005
NSW1,Black Coal,2016-09-28 15:50:00,5788.46473
NSW1,Black Coal,2016-09-28 15:55:00,5847.04492
NSW1,Black Coal,2016-09-28 16:00:00,5947.882079999999
NSW1,Black Coal,2016-09-28 16:05:00,5993.854649999999
NSW1,Black Coal,2016-09-28 16:10:00,6005.657880000001
NSW1,Black Coal,2016-09-28 16:15:00,6037.469230000001
NSW1,Black Coal,2016-09-28 16:20:00,6034.148139999999
NSW1,Black Coal,2016-09-28 16:25:00,5957.443380000001
NSW1,Black Coal,2016-09-28 16:30:00,5800.87182
NSW1,Black Coal,2016-09-28 16:35:00,5930.63292
NSW1,Black Coal,2016-09-28 16:40:00,6093.971560000001
NSW1,Black Coal,2016-09-28 16:45:00,5993.74146
NSW1,Black Coal,2016-09-28 16:50:00,6069.78614
NSW1,Black Coal,2016-09-28 16:55:00,6230.80957
NSW1,Black Coal,2016-09-28 17:00:00,6356.206899999999
NSW1,Gas,2016-09-28 15:00:00,295.01471
NSW1,Gas,2016-09-28 15:05:00,296.37619
NSW1,Gas,2016-09-28 15:10:00,295.67288
NSW1,Gas,2016-09-28 15:15:00,294.55762
NSW1,Gas,2016-09-28 15:20:00,296.63491999999997
NSW1,Gas,2016-09-28 15:25:00,295.4669
NSW1,Gas,2016-09-28 15:30:00,294.56387
NSW1,Gas,2016-09-28 15:35:00,295.84364
NSW1,Gas,2016-09-28 15:40:00,295.78461
NSW1,Gas,2016-09-28 15:45:00,295.37392
NSW1,Gas,2016-09-28 15:50:00,297.34474
NSW1,Gas,2016-09-28 15:55:00,293.9155
NSW1,Gas,2016-09-28 16:00:00,320.39373
NSW1,Gas,2016-09-28 16:05:00,297.52464
NSW1,Gas,2016-09-28 16:10:00,296.22697
NSW1,Gas,2016-09-28 16:15:00,294.13404
NSW1,Gas,2016-09-28 16:20:00,294.24456
NSW1,Gas,2016-09-28 16:25:00,296.92654
NSW1,Gas,2016-09-28 16:30:00,294.35634
NSW1,Gas,2016-09-28 16:35:00,316.78615
NSW1,Gas,2016-09-28 16:40:00,341.43798
NSW1,Gas,2016-09-28 16:45:00,322.71680000000003
NSW1,Gas,2016-09-28 16:50:00,340.1642
NSW1,Gas,2016-09-28 16:55:00,365.93808
NSW1,Gas,2016-09-28 17:00:00,423.85052
NSW1,Hydro,2016-09-28 15:00:00,80.63732999999999
NSW1,Hydro,2016-09-28 15:05:00,78.69866
NSW1,Hydro,2016-09-28 15:10:00,80.28565
NSW1,Hydro,2016-09-28 15:15:00,80.04259
NSW1,Hydro,2016-09-28 15:20:00,79.94126
NSW1,Hydro,2016-09-28 15:25:00,80.4657
NSW1,Hydro,2016-09-28 15:30:00,79.87276
NSW1,Hydro,2016-09-28 15:35:00,79.67299
NSW1,Hydro,2016-09-28 15:40:00,80.673
NSW1,Hydro,2016-09-28 15:45:00,79.39684
NSW1,Hydro,2016-09-28 15:50:00,80.06255
NSW1,Hydro,2016-09-28 15:55:00,80.4919
NSW1,Hydro,2016-09-28 16:00:00,79.90696
NSW1,Hydro,2016-09-28 16:05:00,79.22044
NSW1,Hydro,2016-09-28 16:10:00,80.00609
NSW1,Hydro,2016-09-28 16:15:00,79.6517
NSW1,Hydro,2016-09-28 16:20:00,78.95538
NSW1,Hydro,2016-09-28 16:25:00,79.66534
NSW1,Hydro,2016-09-28 16:30:00,80.00139999999999
NSW1,Hydro,2016-09-28 16:35:00,79.34855999999999
NSW1,Hydro,2016-09-28 16:40:00,80.51060000000001
NSW1,Hydro,2016-09-28 16:45:00,79.45175
NSW1,Hydro,2016-09-28 16:50:00,80.83783
NSW1,Hydro,2016-09-28 16:55:00,80.09431000000001
NSW1,Hydro,2016-09-28 17:00:00,79.3084
NSW1,Hydro Storage,2016-09-28 15:00:00,187.1954
NSW1,Hydro Storage,2016-09-28 15:05:00,175.46756
NSW1,Hydro Storage,2016-09-28 15:10:00,179.2338
NSW1,Hydro Storage,2016-09-28 15:15:00,180.62225
NSW1,Hydro Storage,2016-09-28 15:20:00,178.63962
NSW1,Hydro Storage,2016-09-28 15:25:00,236.29225
NSW1,Hydro Storage,2016-09-28 15:30:00,249.50328
NSW1,Hydro Storage,2016-09-28 15:35:00,245.15544
NSW1,Hydro Storage,2016-09-28 15:40:00,249.98297
NSW1,Hydro Storage,2016-09-28 15:45:00,248.16922
NSW1,Hydro Storage,2016-09-28 15:50:00,244.61015
NSW1,Hydro Storage,2016-09-28 15:55:00,333.04987
NSW1,Hydro Storage,2016-09-28 16:00:00,357.75543
NSW1,Hydro Storage,2016-09-28 16:05:00,243.30576
NSW1,Hydro Storage,2016-09-28 16:10:00,248.48242
NSW1,Hydro Storage,2016-09-28 16:15:00,242.94614
NSW1,Hydro Storage,2016-09-28 16:20:00,242.13065
NSW1,Hydro Storage,2016-09-28 16:25:00,248.41284
NSW1,Hydro Storage,2016-09-28 16:30:00,362.80646
NSW1,Hydro Storage,2016-09-28 16:35:00,361.82727
NSW1,Hydro Storage,2016-09-28 16:40:00,363.4736
NSW1,Hydro Storage,2016-09-28 16:45:00,828.68982
NSW1,Hydro Storage,2016-09-28 16:50:00,756.42126
NSW1,Hydro Storage,2016-09-28 16:55:00,562.55688
NSW1,Hydro Storage,2016-09-28 17:00:00,564.26978
NSW1,Liquid Fuel,2016-09-28 15:00:00,-0.002373
NSW1,Liquid Fuel,2016-09-28 15:05:00,-0.002373
NSW1,Liquid Fuel,2016-09-28 15:10:00,-0.002373
NSW1,Liquid Fuel,2016-09-28 15:15:00,-0.002373
NSW1,Liquid Fuel,2016-09-28 15:20:00,-0.002373
