$,settlementdate,Price$,Demand#,Import,Export,Generation_
QLD1,2016-09-28 15:00:00,49.48,6149.45,0,106.7,6256.15
QLD1,2016-09-28 15:05:00,37.72276,6158.37,0,77.63,6236
QLD1,2016-09-28 15:10:00,40.65802,6123.42,0,120.6,6244.01
QLD1,2016-09-28 15:15:00,49.54,6226.76,0,81.5,6308.26
QLD1,2016-09-28 15:20:00,36.05006,6185.27,0,48.79,6234.06
QLD1,2016-09-28 15:25:00,47.42514,6211.43,0,36.29,6247.71
QLD1,2016-09-28 15:30:00,51.82499,6260.13,0,56.02,6316.15
QLD1,2016-09-28 15:35:00,38.60998,6277.33,0,1.85,6279.18
QLD1,2016-09-28 15:40:00,49.54,6351.4,0,12.78,6364.18
QLD1,2016-09-28 15:45:00,50.825,6333.89,0,85.13,6419.02
QLD1,2016-09-28 15:50:00,51.51936,6364.33,0,97.39,6461.72
QLD1,2016-09-28 15:55:00,54.10995,6413.11,0,72.83,6485.94
QLD1,2016-09-28 16:00:00,52.31313,6464.22,0,33.74,6497.96
QLD1,2016-09-28 16:05:00,38.5103,6468.91,-5.67,0,6463.24
QLD1,2016-09-28 16:10:00,52.04797,6515.24,0,58.21,6573.45
QLD1,2016-09-28 16:15:00,51.98927,6534.89,0,62.03,6596.92
QLD1,2016-09-28 16:20:00,41.74694,6544.47,0,22.54,6567.02
QLD1,2016-09-28 16:25:00,30.59963,6655.86,-182.22,0,6473.64
QLD1,2016-09-28 16:30:00,51.72211,6568.02,0,100.03,6668.05
QLD1,2016-09-28 16:35:00,53.7763,6688.43,-17.04,0,6671.39
QLD1,2016-09-28 16:40:00,29.48055,6680.59,-203.9,0,6476.68
QLD1,2016-09-28 16:45:00,52.84823,6720.38,-92.61,0,6627.77
QLD1,2016-09-28 16:50:00,104.65849,6740.44,0,29.03,6769.48
QLD1,2016-09-28 16:55:00,64.50008,6764.35,0,17.49,6781.84
QLD1,2016-09-28 17:00:00,64.5001,6815.62,-40.75,0,6774.86
NSW1,2016-09-28 15:00:00,48.10191,7465.92,-1142.12,0,6323.8
NSW1,2016-09-28 15:05:00,36.41204,7425.1,-1130.98,0,6294.11
NSW1,2016-09-28 15:10:00,39.81025,7436.75,-1113.85,0,6322.9
NSW1,2016-09-28 15:15:00,48.1048,7470.35,-1107.23,0,6363.12
NSW1,2016-09-28 15:20:00,34.78984,7469.06,-1124.9,0,6344.15
NSW1,2016-09-28 15:25:00,45.43629,7513.46,-1109.96,0,6403.5
NSW1,2016-09-28 15:30:00,49.96,7533.96,-1067.18,0,6466.78
NSW1,2016-09-28 15:35:00,36.70904,7541.11,-1078.31,0,6462.8
NSW1,2016-09-28 15:40:00,47.33436,7554.16,-1061.08,0,6493.08
NSW1,2016-09-28 15:45:00,48.9599,7592.14,-1069.49,0,6522.65
NSW1,2016-09-28 15:50:00,49.96,7643.22,-1028.58,0,6614.64
NSW1,2016-09-28 15:55:00,52.089,7693.45,-893.35,0,6800.09
NSW1,2016-09-28 16:00:00,49.96032,7690.2,-827.46,0,6862.73
NSW1,2016-09-28 16:05:00,36.51255,7622.84,-894.18,0,6728.66
NSW1,2016-09-28 16:10:00,49.96,7707.21,-887.25,0,6819.95
NSW1,2016-09-28 16:15:00,49.96,7771.14,-894.03,0,6877.1
NSW1,2016-09-28 16:20:00,39.81025,7650.34,-864.25,0,6786.09
NSW1,2016-09-28 16:25:00,27.96408,7717,-1100.96,0,6616.05
NSW1,2016-09-28 16:30:00,50,7718.82,-914.81,0,6804.01
NSW1,2016-09-28 16:35:00,50.87026,7837.2,-877.62,0,6959.58
NSW1,2016-09-28 16:40:00,27.50032,7841.22,-555.82,0,7285.4
NSW1,2016-09-28 16:45:00,49.96,7950.69,-545.05,0,7405.64
NSW1,2016-09-28 16:50:00,99.6,7944.87,-522.21,0,7422.67
NSW1,2016-09-28 16:55:00,63.08193,7989.54,-367.6,0,7621.93
NSW1,2016-09-28 17:00:00,62.18401,8006.73,-206.88,0,7799.84
VIC1,2016-09-28 15:00:00,40.60334,4938.98,0,1752.63,6691.61
VIC1,2016-09-28 15:05:00,30.48009,4931.84,0,1760.09,6691.92
VIC1,2016-09-28 15:10:00,33.92639,4969.9,0,1720.23,6690.13
VIC1,2016-09-28 15:15:00,40.6292,4956.34,0,1750.95,6707.29
VIC1,2016-09-28 15:20:00,28.8537,4906.43,0,1802.23,6708.65
VIC1,2016-09-28 15:25:00,37.99988,4905.41,0,1819.05,6724.47
VIC1,2016-09-28 15:30:00,42.20219,4968.6,0,1768.74,6737.34
VIC1,2016-09-28 15:35:00,30.4295,4910.76,0,1829.11,6739.87
VIC1,2016-09-28 15:40:00,39.60205,4936.19,0,1807.45,6743.64
VIC1,2016-09-28 15:45:00,41.72461,4988.83,0,1747.49,6736.32
VIC1,2016-09-28 15:50:00,42.94916,5009.18,0,1710.81,6719.99
VIC1,2016-09-28 15:55:00,45.98555,5039.21,0,1714.87,6754.08
VIC1,2016-09-28 16:00:00,44.12368,5045.76,0,1726.79,6772.55
VIC1,2016-09-28 16:05:00,31.68409,5000.94,0,1845.7,6846.64
VIC1,2016-09-28 16:10:00,43.77441,5087.05,0,1781.41,6868.45
VIC1,2016-09-28 16:15:00,43.78101,5107.32,0,1771.5,6878.82
VIC1,2016-09-28 16:20:00,34.92731,5123.94,0,1774.73,6898.67
VIC1,2016-09-28 16:25:00,6.26248,5230.08,0,1397.72,6627.8
VIC1,2016-09-28 16:30:00,-95.98,5197.78,0,1344.35,6542.13
VIC1,2016-09-28 16:35:00,-3.43805,5180.76,0,1329.62,6510.38
VIC1,2016-09-28 16:40:00,10.35,5199.52,0,1062.48,6262
VIC1,2016-09-28 16:45:00,10.5,5182.61,0,893.2,6075.82
VIC1,2016-09-28 16:50:00,10.5,5228.41,0,731.1,5959.51
VIC1,2016-09-28 16:55:00,16.2,5297.47,0,561.82,5859.29
VIC1,2016-09-28 17:00:00,16.2,5366.08,0,475.13,5841.21
SA1,2016-09-28 15:00:00,44.84486,1512.96,-288.19,0,1224.77
SA1,2016-09-28 15:05:00,33.66097,1518.02,-275.05,0,1242.97
SA1,2016-09-28 15:10:00,37.84632,1515.48,-310.78,0,1204.7
SA1,2016-09-28 15:15:00,45.07936,1558.83,-301.72,0,1257.11
SA1,2016-09-28 15:20:00,31.99976,1557.92,-293.87,0,1264.05
SA1,2016-09-28 15:25:00,42.39047,1571.71,-309.62,0,1262.09
SA1,2016-09-28 15:30:00,47.33755,1596.04,-331.19,0,1264.85
SA1,2016-09-28 15:35:00,33.74286,1563.26,-295.34,0,1267.92
SA1,2016-09-28 15:40:00,43.91848,1585.46,-295.82,0,1289.65
SA1,2016-09-28 15:45:00,46.49856,1628.21,-316.81,0,1311.4
SA1,2016-09-28 15:50:00,48.14245,1626.73,-339.39,0,1287.33
SA1,2016-09-28 15:55:00,53.77295,1652.46,-453.77,0,1198.69
SA1,2016-09-28 16:00:00,54.0227,1692.96,-482.4,0,1210.56
SA1,2016-09-28 16:05:00,63.16,1654.68,-532.82,0,1121.86
SA1,2016-09-28 16:10:00,63.16,1677.88,-533.24,0,1144.63
SA1,2016-09-28 16:15:00,63.16,1688.07,-525.71,0,1162.36
SA1,2016-09-28 16:20:00,63.16,1685.63,-522.28,0,1163.35
SA1,2016-09-28 16:25:00,63.16,4.89,0,500.59,505.48
SA1,2016-09-28 16:30:00,63.16,18.02,0,0,18.02
SA1,2016-09-28 16:35:00,73,22.22,0,0,22.22
SA1,2016-09-28 16:40:00,73,25.46,0,0,25.46
SA1,2016-09-28 16:45:00,73,27.55,0,0,27.55
SA1,2016-09-28 16:50:00,73,28.09,0,0,28.09
SA1,2016-09-28 16:55:00,73,28.64,0,0,28.64
SA1,2016-09-28 17:00:00,73,29.15,0,0,29.15
TAS1,2016-09-28 15:00:00,42.53663,973.75,-332.93,0,640.82
TAS1,2016-09-28 15:05:00,31.82137,975.97,-332.84,0,643.13
TAS1,2016-09-28 15:10:00,35.54177,971.13,-327.22,0,643.92
TAS1,2016-09-28 15:15:00,42.56373,970.05,-328.24,0,641.81
TAS1,2016-09-28 15:20:00,30.22755,966.02,-325.87,0,640.15
TAS1,2016-09-28 15:25:00,39.53921,966.63,-327.04,0,639.59
TAS1,2016-09-28 15:30:00,43.94161,966.83,-329.67,0,637.16
TAS1,2016-09-28 15:35:00,31.85867,981.35,-346.56,0,634.8
TAS1,2016-09-28 15:40:00,41.69666,988.43,-358.79,0,629.64
TAS1,2016-09-28 15:45:00,43.93149,987.12,-356.78,0,630.34
TAS1,2016-09-28 15:50:00,45.12081,987.33,-357.65,0,629.68
TAS1,2016-09-28 15:55:00,48.3478,985.99,-358.15,0,627.84
TAS1,2016-09-28 16:00:00,46.59388,993.19,-364.92,0,628.28
TAS1,2016-09-28 16:05:00,32.66189,1004.41,-294.89,0,709.52
TAS1,2016-09-28 16:10:00,45.74319,1027.75,-318.45,0,709.3
TAS1,2016-09-28 16:15:00,45.47008,1024.47,-315.16,0,709.31
TAS1,2016-09-28 16:20:00,36.40602,1018.23,-310.07,0,708.16
TAS1,2016-09-28 16:25:00,14.79461,1020.34,-421,0,599.34
TAS1,2016-09-28 16:30:00,14.79461,1018,-478,0,540
TAS1,2016-09-28 16:35:00,14.62632,1033.4,-368.45,0,664.95
TAS1,2016-09-28 16:40:00,14.98504,1035.33,-248.23,0,787.1
TAS1,2016-09-28 16:45:00,19.33908,1048.95,-225.44,0,823.51
TAS1,2016-09-28 16:50:00,20.63032,1055.95,-226.59,0,829.36
TAS1,2016-09-28 16:55:00,25.97488,1066.14,-214.85,0,851.29
TAS1,2016-09-28 17:00:00,29.92541,1083.94,-233.16,0,850.79
