_,region,MW#
Wind,QLD1,168.83999999999997
Solar,QLD1,649.446131
Liquid Fuel,QLD1,0
Hydro Storage,QLD1,-236.47
Hydro,QLD1,54.2225
Gas,QLD1,311.59031000000004
Black Coal,QLD1,3979.49975
Biomass,QLD1,46.100002
Battery Storage,QLD1,0
Wind,NSW1,195.29064999999997
Solar,NSW1,1117.17651
Liquid Fuel,NSW1,-0.072372
Hydro Storage,NSW1,-121.34477
Hydro,NSW1,55.236959999999996
Gas,NSW1,0.15386
Black Coal,NSW1,3756.1438900000003
Wind,VIC1,646.3376079999999
Solar,VIC1,236.75
Hydro,VIC1,0.11
Gas,VIC1,0
Brown Coal,VIC1,3457.3013000000005
Battery Storage,VIC1,-9.91446
Wind,SA1,114.648756
Solar,SA1,314.25
Liquid Fuel,SA1,-0.1
Gas,SA1,407.37774
Battery Storage,SA1,-33.633990000000004
Wind,TAS1,308.03818900000005
Hydro,TAS1,1261.872796
Gas,TAS1,54.72331
