$,settlementdate,Price$,Demand#,Import,Export,Generation_
QLD1,2021-09-22 01:45:00,54.78257,5313.79,0,649.14,5962.93
QLD1,2021-09-22 01:50:00,51.15,5338.8,0,569.85,5908.65
QLD1,2021-09-22 01:55:00,45.68265,5305.55,0,569.96,5875.51
QLD1,2021-09-22 02:00:00,51.1,5303.71,0,562.76,5866.47
QLD1,2021-09-22 02:05:00,50.22629,5283.41,0,570.09,5853.5
QLD1,2021-09-22 02:10:00,51.1,5294.35,0,554.45,5848.81
QLD1,2021-09-22 02:15:00,51.14999,5256.56,0,596.93,5853.5
QLD1,2021-09-22 02:20:00,51.15,5227.51,0,638.57,5866.08
QLD1,2021-09-22 02:25:00,45.65836,5254.87,0,565.03,5819.9
QLD1,2021-09-22 02:30:00,50.18556,5219.94,0,578.69,5798.63
QLD1,2021-09-22 02:35:00,50.85116,5233.49,0,514.58,5748.07
QLD1,2021-09-22 02:40:00,50.83211,5197.63,0,513.63,5711.26
QLD1,2021-09-22 02:45:00,45.91347,5181.92,0,541.51,5723.43
QLD1,2021-09-22 02:50:00,40.57613,5189.97,0,524.12,5714.09
QLD1,2021-09-22 02:55:00,41.1,5237.18,0,464.73,5701.91
QLD1,2021-09-22 03:00:00,46.23417,5220.68,0,491.02,5711.7
QLD1,2021-09-22 03:05:00,46.53492,5222.72,0,472.66,5695.37
QLD1,2021-09-22 03:10:00,51.15,5249.59,0,484,5733.59
QLD1,2021-09-22 03:15:00,51.14999,5243.53,0,484.02,5727.55
QLD1,2021-09-22 03:20:00,51.14999,5247.29,0,466.46,5713.76
QLD1,2021-09-22 03:25:00,46.85004,5238.64,0,440.1,5678.75
QLD1,2021-09-22 03:30:00,51.15,5276.14,0,446.87,5723.01
QLD1,2021-09-22 03:35:00,40.65584,5218.66,0,458.33,5676.98
QLD1,2021-09-22 03:40:00,46.86948,5259.7,0,439.97,5699.68
QLD1,2021-09-22 03:45:00,45.91802,5193.42,0,525.97,5719.39
QLD1,2021-09-22 03:50:00,49.92913,5248.97,0,480.22,5729.19
QLD1,2021-09-22 03:55:00,51.1,5247.53,0,470.69,5718.22
QLD1,2021-09-22 04:00:00,40.58027,5230.36,0,473.78,5704.14
QLD1,2021-09-22 04:05:00,40.59534,5266.26,0,462.77,5729.03
QLD1,2021-09-22 04:10:00,45.95457,5241.02,0,548.25,5789.27
QLD1,2021-09-22 04:15:00,48.70462,5311.38,0,472.06,5783.43
QLD1,2021-09-22 04:20:00,46.60462,5306.41,0,474.49,5780.91
QLD1,2021-09-22 04:25:00,48.38093,5338.69,0,451.41,5790.1
QLD1,2021-09-22 04:30:00,49.45301,5372.51,0,425.18,5797.68
QLD1,2021-09-22 04:35:00,46.94696,5357.04,0,436.07,5793.11
QLD1,2021-09-22 04:40:00,51.1,5394.45,0,410.11,5804.57
QLD1,2021-09-22 04:45:00,49.02359,5361.34,0,447.71,5809.05
QLD1,2021-09-22 04:50:00,51.67443,5412.33,0,447.13,5859.47
QLD1,2021-09-22 04:55:00,51.33337,5402.36,0,461.43,5863.79
QLD1,2021-09-22 05:00:00,54.91373,5471.45,0,393.95,5865.4
QLD1,2021-09-22 05:05:00,52.81732,5555.31,0,314.77,5870.07
QLD1,2021-09-22 05:10:00,60.29212,5561.34,0,314.18,5875.52
QLD1,2021-09-22 05:15:00,63.1,5626.27,0,255.36,5881.63
QLD1,2021-09-22 05:20:00,63.15,5642.68,0,271.87,5914.56
QLD1,2021-09-22 05:25:00,63.15,5649.25,0,291.79,5941.04
QLD1,2021-09-22 05:30:00,62.5393,5671.09,0,327.76,5998.85
QLD1,2021-09-22 05:35:00,54.04172,5682.18,0,492.69,6174.88
QLD1,2021-09-22 05:40:00,56.63595,5738.97,0,553.97,6292.94
QLD1,2021-09-22 05:45:00,61.24207,5832.73,0,549.29,6382.02
QLD1,2021-09-22 05:50:00,58.65531,5716.18,0,683.65,6399.84
